,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,australian,001 knn,000 all,0.9017341040462428,0.9017341040462428,0.0,0
1,australian,000 rf,000 all,0.8901734104046243,0.8901734104046243,0.0,0
2,australian,001 knn,003 feature importance selection,0.8439306358381503,0.8439306358381503,0.14359092712402344,0
3,australian,001 knn,011 feature importance weighting,0.8670520231213873,0.8670520231213873,0.14359092712402344,0
4,australian,001 knn,004 l1,0.8728323699421965,0.8728323699421965,0.011980533599853516,0
5,australian,001 knn,005 relieff selection,0.8786127167630058,0.8786127167630058,0.05785417556762695,0
6,australian,001 knn,012 relieff weighting,0.861271676300578,0.861271676300578,0.05785417556762695,0
7,australian,001 knn,006 forward selection,0.861271676300578,0.861271676300578,3.4890079498291016,0
8,australian,001 knn,007 backward selection,0.8728323699421965,0.8728323699421965,6.2372870445251465,0
9,australian,001 knn,008 stepwise selection,0.8959537572254336,0.8959537572254335,3.4848785400390625,0
10,australian,001 knn,009 bayesian selection,0.9075144508670521,0.9075144508670521,34.09409046173096,96
11,australian,001 knn,013 bayesian weighting,0.9248554913294798,0.9248554913294798,87.42889046669006,131
12,glass,001 knn,000 all,0.6666666666666666,0.6666666666666666,0.0,0
13,glass,000 rf,000 all,0.7777777777777778,0.7777777777777778,0.0,0
14,glass,001 knn,003 feature importance selection,0.6296296296296297,0.6296296296296297,0.15332269668579102,0
15,glass,001 knn,011 feature importance weighting,0.6296296296296297,0.6296296296296297,0.15332269668579102,0
16,glass,001 knn,004 l1,0.6481481481481481,0.6481481481481481,0.0039653778076171875,0
17,glass,001 knn,005 relieff selection,0.6666666666666666,0.6666666666666666,0.01763463020324707,0
18,glass,001 knn,012 relieff weighting,0.6296296296296297,0.6296296296296297,0.01763463020324707,0
19,glass,001 knn,006 forward selection,0.6851851851851852,0.6851851851851852,6.4265477657318115,0
20,glass,001 knn,007 backward selection,0.6296296296296297,0.6296296296296297,2.010521650314331,0
21,glass,001 knn,008 stepwise selection,0.6481481481481481,0.6481481481481481,2.1184825897216797,0
22,glass,001 knn,009 bayesian selection,0.6481481481481481,0.6481481481481481,30.48458743095398,2
23,glass,001 knn,013 bayesian weighting,0.7592592592592593,0.7592592592592593,77.83029055595398,52
24,breast_cancer,001 knn,000 all,0.958041958041958,0.958041958041958,0.0,0
25,breast_cancer,000 rf,000 all,0.972027972027972,0.972027972027972,0.0,0
26,breast_cancer,001 knn,003 feature importance selection,0.958041958041958,0.958041958041958,0.18358993530273438,0
27,breast_cancer,001 knn,011 feature importance weighting,0.9230769230769231,0.9230769230769231,0.18358993530273438,0
28,breast_cancer,001 knn,004 l1,0.9230769230769231,0.9230769230769231,0.013560056686401367,0
29,breast_cancer,001 knn,005 relieff selection,0.9230769230769231,0.9230769230769231,0.054018259048461914,0
30,breast_cancer,001 knn,012 relieff weighting,0.9370629370629371,0.9370629370629371,0.054018259048461914,0
31,breast_cancer,001 knn,006 forward selection,0.9300699300699301,0.9300699300699301,14.52707815170288,0
32,breast_cancer,001 knn,007 backward selection,0.9370629370629371,0.9370629370629371,7.299170255661011,0
33,breast_cancer,001 knn,008 stepwise selection,0.9090909090909091,0.9090909090909091,7.35016393661499,0
34,breast_cancer,001 knn,009 bayesian selection,0.9440559440559441,0.9440559440559441,42.57372426986694,68
35,breast_cancer,001 knn,013 bayesian weighting,0.9440559440559441,0.9440559440559441,110.32745265960693,11
36,ecoli,001 knn,000 all,0.8452380952380952,0.8452380952380952,0.0,0
37,ecoli,000 rf,000 all,0.8571428571428571,0.8571428571428571,0.0,0
38,ecoli,001 knn,003 feature importance selection,0.8095238095238095,0.8095238095238095,0.15029263496398926,0
39,ecoli,001 knn,011 feature importance weighting,0.8452380952380952,0.8452380952380952,0.15029263496398926,0
40,ecoli,001 knn,004 l1,0.8452380952380952,0.8452380952380952,0.0053980350494384766,0
41,ecoli,001 knn,005 relieff selection,0.7976190476190477,0.7976190476190477,0.04913806915283203,0
42,ecoli,001 knn,012 relieff weighting,0.7619047619047619,0.7619047619047619,0.04913806915283203,0
