,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,abalone,001 knn,000 all,5.75688236990742,0.4377284294969538,0.0,0
1,abalone,000 rf,000 all,4.635227442599451,0.5472798562963994,0.0,0
2,abalone,001 knn,002 intercorrelation,6.0633446639393,0.40779642389162785,0.02165699005126953,0
3,abalone,001 knn,010 correlation weighting,5.527387301463719,0.4601430880335011,0.02165699005126953,0
4,abalone,001 knn,003 feature importance selection,5.288438402437643,0.48348109706207987,1.065648078918457,0
5,abalone,001 knn,011 feature importance weighting,5.405271363884093,0.4720700852508253,1.065648078918457,0
6,abalone,001 knn,004 l1,6.01560358922454,0.4124592686976445,0.00979471206665039,0
7,abalone,001 knn,005 relieff selection,5.399433919445938,0.4726402252747247,0.22830963134765625,0
8,abalone,001 knn,012 relieff weighting,5.381212155127262,0.47441993508681934,0.22830963134765625,0
9,abalone,001 knn,006 forward selection,5.370836466797372,0.4754333229237486,2.978635549545288,0
10,abalone,001 knn,007 backward selection,5.3614342609566545,0.47635163125533586,3.812333106994629,0
11,abalone,001 knn,008 stepwise selection,5.370836466797372,0.4754333229237486,7.044662237167358,0
12,abalone,001 knn,009 bayesian selection,5.361173084885762,0.47637714018015354,33.00702667236328,37
13,abalone,001 knn,013 bayesian weighting,5.084291878415107,0.5034199770494323,83.8837742805481,466
14,bike,001 knn,000 all,751808.7300774134,0.8011994533102533,0.0,0
15,bike,000 rf,000 all,377238.44110615016,0.9002469573390453,0.0,0
16,bike,001 knn,002 intercorrelation,831779.9202337583,0.7800526965801553,0.022563695907592773,0
17,bike,001 knn,010 correlation weighting,522240.76626695,0.8619040379767187,0.022563695907592773,0
18,bike,001 knn,003 feature importance selection,654963.1440624369,0.8268083012445993,0.26351165771484375,0
19,bike,001 knn,011 feature importance weighting,722965.8839008634,0.8088263580781668,0.26351165771484375,0
20,bike,001 knn,004 l1,722965.8839008634,0.8088263580781668,0.0069081783294677734,0
21,bike,001 knn,005 relieff selection,1961923.940270188,0.4812090678313168,0.07513785362243652,0
22,bike,001 knn,012 relieff weighting,1323910.0676777642,0.6499188760480368,0.07513785362243652,0
23,bike,001 knn,006 forward selection,1573871.4018290835,0.5838216788587146,14.090832710266113,0
24,bike,001 knn,007 backward selection,1332710.3726388046,0.6475918141674024,5.954845666885376,0
25,bike,001 knn,008 stepwise selection,1349829.5879882614,0.6430649854219832,8.924651145935059,0
26,bike,001 knn,009 bayesian selection,748226.0949411389,0.8021468083956458,31.992040872573853,50
27,bike,001 knn,013 bayesian weighting,488251.1822463401,0.8708918930184638,83.32285189628601,403
28,boston,001 knn,000 all,15.12303118110236,0.7843839076716638,0.0,0
29,boston,000 rf,000 all,11.979455803028648,0.8292033245493337,0.0,0
