,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8901734104046243,0.8901734104046243,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9017341040462428,0.9017341040462428,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.9017341040462428,0.9017341040462428,0.1652686595916748,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.884393063583815,0.884393063583815,0.1652686595916748,0,0.011984763010698599,0.07776943014069292,0.0824440160993828,0.019002456377045125,0.07474378377028769,0.025323043083265016,0.09746274103457493,0.26793044554847256,0.04510930716734055,0.10213448134995398,0.01413836060764164,0.011317024533583778,0.07588648262442074,0.09475366465263961
4,australian,001 knn,004 l1,0.8728323699421965,0.8728323699421965,0.003459930419921875,0,False,False,False,True,True,False,True,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8901734104046243,0.8901734104046243,0.04249119758605957,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.884393063583815,0.884393063583815,0.04249119758605957,0,0.7914777878513146,0.0,0.05268109125117593,0.9383499546690843,0.5023518344308561,0.38349954669084313,0.08842897460018817,1.0,0.8603807796917498,0.13508612873980055,0.8331822302810517,0.9492293744333635,0.19755409219190967,0.29350893697083724
7,australian,001 knn,006 forward selection,0.884393063583815,0.884393063583815,3.5170888900756836,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8901734104046243,0.8901734104046243,3.376694440841675,0,True,True,True,True,True,True,True,True,True,True,True,True,True,False
9,australian,001 knn,008 stepwise selection,0.884393063583815,0.884393063583815,3.48058819770813,0,False,True,True,False,True,False,True,True,False,False,False,False,True,False
10,australian,001 knn,009 bayesian selection,0.9132947976878613,0.9132947976878613,34.1506712436676,2,True,True,True,True,False,True,False,True,True,False,True,True,False,False
11,australian,001 knn,013 bayesian weighting,0.9364161849710982,0.9364161849710982,88.82878279685974,298,0.21087222828540195,0.44190323844638346,0.19432698551119182,0.4531029339867591,0.15217363269113318,0.5802874569712859,0.044389535156894505,0.7151048780223724,0.5044863272356511,0.42576411965700434,0.6614061467529619,0.11046047521801525,0.7410104181013263,0.7048216062527267
