,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.8333333333333334,0.8333333333333334,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8214285714285714,0.8214285714285714,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.7976190476190477,0.7976190476190477,0.15140819549560547,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.8690476190476191,0.8690476190476191,0.15140819549560547,0,0.213184918465884,0.1787643775995251,0.023542276173531128,0.003316917731477515,0.13038835938786164,0.22413017209332964,0.22667297854839102
4,ecoli,001 knn,004 l1,0.8571428571428571,0.8571428571428571,0.0034554004669189453,0,True,True,False,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.7738095238095238,0.7738095238095238,0.04594278335571289,0,False,True,True,True,False,True,True
6,ecoli,001 knn,012 relieff weighting,0.75,0.75,0.04594278335571289,0,0.0,0.06551059730250486,0.9893805309734514,1.0,0.026974951830443183,0.07707129094412335,0.026974951830443183
7,ecoli,001 knn,006 forward selection,0.7619047619047619,0.7619047619047619,4.1529700756073,0,True,True,False,False,True,True,False
8,ecoli,001 knn,007 backward selection,0.7261904761904762,0.7261904761904762,1.5603933334350586,0,True,True,True,True,True,True,False
9,ecoli,001 knn,008 stepwise selection,0.7619047619047619,0.7619047619047619,3.4360663890838623,0,True,True,False,False,True,True,False
10,ecoli,001 knn,009 bayesian selection,0.7738095238095238,0.7738095238095238,30.024664640426636,14,True,True,False,True,True,True,True
11,ecoli,001 knn,013 bayesian weighting,0.8452380952380952,0.8452380952380952,76.02658176422119,256,0.9979305892697189,0.26226587368027826,0.8466070086633637,0.247226141407367,0.9985013915424011,0.643421008038411,0.8834734730491604
