,dataset,base,method,PM1,PM2,Time,TriesToOpt,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,fire,001 knn,000 all,1.333880026678436,-0.038304140124001185,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
1,fire,000 rf,000 all,1.4922641581340326,-0.16159176429646727,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
2,fire,001 knn,002 intercorrelation,1.3243084818456257,-0.030853564038806347,0.022739887237548828,0,True,True,True,True,True,True,False,True,True,True,True,True
3,fire,001 knn,010 correlation weighting,1.2580518818404143,0.02072116586194761,0.022739887237548828,0,0.04762650587916265,0.017405828665441395,0.09636073696276465,0.004799279240842976,0.04575242115583123,0.0972287944580815,0.056626740653003445,0.00440419494749718,0.06478329684591481,0.037299593499054436,0.03619646631822902,0.02508714706318695
4,fire,001 knn,003 feature importance selection,1.4276817987720092,-0.11132027828318258,0.23898601531982422,0,False,True,False,True,False,True,False,True,False,True,False,True
5,fire,001 knn,011 feature importance weighting,1.317501311935818,-0.02555480211230754,0.23898601531982422,0,0.07670290755867451,0.061632238923777595,0.025951808787154567,0.053608601068799715,0.0746349648020885,0.11599358950607104,0.08454339656489249,0.08440806163109991,0.19197265909041877,0.13055124353852163,0.09811024660637255,0.0018902819221287444
6,fire,001 knn,004 l1,-1.0,-1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False
7,fire,001 knn,005 relieff selection,1.3355824522321091,-0.03962932339781733,0.04654192924499512,0,True,False,False,True,True,True,True,True,True,True,True,False
8,fire,001 knn,012 relieff weighting,1.311398365473096,-0.020804214014082056,0.04654192924499512,0,0.29411764705882354,0.00980392156862745,0.6799999999999999,0.3112745098039216,0.8284313725490197,0.8946078431372549,0.8970588235294118,0.8357843137254902,1.0,0.9485294117647058,0.6838235294117647,0.0
9,fire,001 knn,006 forward selection,1.3182565289274322,-0.0261426697716185,2.777062177658081,0,True,False,False,False,False,False,False,False,False,False,False,False
10,fire,001 knn,007 backward selection,1.311398365473096,-0.020804214014082056,2.6804745197296143,0,True,True,True,True,True,True,True,True,True,True,True,False
11,fire,001 knn,008 stepwise selection,1.422148098092173,-0.10701279619246673,5.553816795349121,0,True,True,False,True,False,True,True,False,False,True,False,True
12,fire,001 knn,009 bayesian selection,1.277974058901812,0.005213565096200856,32.28190040588379,120,False,True,True,False,True,False,True,True,True,False,False,True
13,fire,001 knn,013 bayesian weighting,1.220553447348216,0.0499102825761184,83.63212847709656,388,0.9707350576765129,0.8792413945241089,0.4331605025706328,0.054289938291964254,0.9349121510662067,0.26962977578309366,0.9481281644894368,0.6025374629492953,0.6216144718129862,0.39211595546270467,0.8952972953843003,0.9791399935427976
