,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6296296296296297,0.6296296296296297,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7222222222222222,0.7222222222222222,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.6296296296296297,0.6296296296296297,0.15358757972717285,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6666666666666666,0.6666666666666666,0.15358757972717285,0,0.14574710800425164,0.09532863005154203,0.16147839853477133,0.14917132657833973,0.09932241852637354,0.11106974174099306,0.11432967850303832,0.09034610973752968,0.03320658832316081
4,glass,001 knn,004 l1,0.6666666666666666,0.6666666666666666,0.0052073001861572266,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.5,0.5,0.03594231605529785,0,False,True,True,False,True,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.6851851851851852,0.6851851851851852,0.03594231605529785,0,0.08108108108108103,0.18918918918918914,0.4117647058823529,0.0,0.10810810810810811,0.0,0.08108108108108103,0.29411764705882354,1.0
7,glass,001 knn,006 forward selection,0.5185185185185185,0.5185185185185185,4.289880275726318,0,True,False,False,True,False,True,False,False,False
8,glass,001 knn,007 backward selection,0.6296296296296297,0.6296296296296297,2.013782501220703,0,True,True,True,True,False,True,True,True,True
9,glass,001 knn,008 stepwise selection,0.5740740740740741,0.5740740740740741,2.1348350048065186,0,False,True,False,True,True,False,True,False,True
10,glass,001 knn,009 bayesian selection,0.7037037037037037,0.7037037037037037,30.664079904556274,40,True,False,False,True,False,False,True,True,False
11,glass,001 knn,013 bayesian weighting,0.7222222222222222,0.7222222222222222,78.69849705696106,0,0.5680842795202297,0.575557220810302,0.5039596328046706,0.12652057566808195,0.7506931235162412,0.22521809573839524,0.717647288887389,0.9997436707269156,0.41601456296095773
