,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,2623.952452830189,0.8093937959882169,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,1667.2096654962677,0.8788924298955033,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,2623.952452830189,0.8093937959882169,0.01605677604675293,0,True,True,True,True,True,True
3,machine,001 knn,010 correlation weighting,2595.7501886792456,0.8114424331533268,0.01605677604675293,0,0.3033374645487345,0.7786860749865834,0.8859619561188607,0.7033055530951579,0.5910299084551687,0.6968352227917939
4,machine,001 knn,003 feature importance selection,3209.1073584905657,0.7668876312112992,0.12819766998291016,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,2544.576226415094,0.8151597545860727,0.12819766998291016,0,0.029053590215116065,0.06443481635206408,0.6657297153105257,0.11669680291807523,0.06483955089933005,0.05924552430488885
6,machine,001 knn,004 l1,2544.576226415094,0.8151597545860727,0.0076694488525390625,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,4253.674905660378,0.6910093298399511,0.039314985275268555,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,2358.5116981132073,0.8286756448616808,0.039314985275268555,0,1.0,0.35279805352798055,0.2116788321167883,0.26520681265206814,0.22627737226277372,0.8929440389294404
9,machine,001 knn,006 forward selection,3944.6158490566036,0.713459650359734,4.150250196456909,0,True,True,False,True,True,False
10,machine,001 knn,007 backward selection,2368.2305660377356,0.8279696577846711,1.2619106769561768,0,False,True,True,True,True,True
11,machine,001 knn,008 stepwise selection,3924.3128301886795,0.7149344794299866,2.7816855907440186,0,True,True,False,True,True,False
12,machine,001 knn,009 bayesian selection,2350.106226415094,0.8292862256866412,28.915395259857178,47,True,True,True,True,False,False
13,machine,001 knn,013 bayesian weighting,1300.5694339622644,0.9055254973869973,73.98644161224365,446,0.7958717494332026,0.8905401825127713,0.18247902812034325,0.5149866118783448,0.2075532808930915,0.24456866642077685
