,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,australian,001 knn,000 all,0.861271676300578,0.861271676300578,0.0,0
1,australian,000 rf,000 all,0.8323699421965318,0.8323699421965318,0.0,0
2,australian,001 knn,003 feature importance selection,0.8323699421965318,0.8323699421965318,0.15918374061584473,0
3,australian,001 knn,011 feature importance weighting,0.815028901734104,0.815028901734104,0.15918374061584473,0
4,australian,001 knn,004 l1,0.8092485549132948,0.8092485549132948,0.011277198791503906,0
5,australian,001 knn,005 relieff selection,0.815028901734104,0.815028901734104,0.04368925094604492,0
6,australian,001 knn,012 relieff weighting,0.8034682080924855,0.8034682080924856,0.04368925094604492,0
7,australian,001 knn,006 forward selection,0.8034682080924855,0.8034682080924856,3.4569671154022217,0
8,australian,001 knn,007 backward selection,0.8034682080924855,0.8034682080924856,4.8884007930755615,0
9,australian,001 knn,008 stepwise selection,0.8034682080924855,0.8034682080924856,3.4954674243927,0
10,australian,001 knn,009 bayesian selection,0.8497109826589595,0.8497109826589595,33.97425150871277,118
11,australian,001 knn,013 bayesian weighting,0.8786127167630058,0.8786127167630058,87.76307225227356,437
12,glass,001 knn,000 all,0.5555555555555556,0.5555555555555556,0.0,0
13,glass,000 rf,000 all,0.6666666666666666,0.6666666666666666,0.0,0
14,glass,001 knn,003 feature importance selection,0.42592592592592593,0.42592592592592593,0.15384221076965332,0
15,glass,001 knn,011 feature importance weighting,0.5185185185185185,0.5185185185185185,0.15384221076965332,0
16,glass,001 knn,004 l1,0.5370370370370371,0.5370370370370371,0.0038797855377197266,0
17,glass,001 knn,005 relieff selection,0.5185185185185185,0.5185185185185185,0.015490531921386719,0
18,glass,001 knn,012 relieff weighting,0.4074074074074074,0.4074074074074074,0.015490531921386719,0
19,glass,001 knn,006 forward selection,0.6111111111111112,0.6111111111111112,4.25960111618042,0
20,glass,001 knn,007 backward selection,0.4074074074074074,0.4074074074074074,1.9958264827728271,0
21,glass,001 knn,008 stepwise selection,0.6111111111111112,0.6111111111111112,3.1884615421295166,0
22,glass,001 knn,009 bayesian selection,0.6111111111111112,0.6111111111111112,30.610915899276733,11
23,glass,001 knn,013 bayesian weighting,0.6111111111111112,0.6111111111111112,77.89960718154907,325
24,breast_cancer,001 knn,000 all,0.9440559440559441,0.9440559440559441,0.0,0
25,breast_cancer,000 rf,000 all,0.9440559440559441,0.9440559440559441,0.0,0
