base,method,abalone,bike,boston,diabetes,fire,machine,student
000 rf,000 all,$4.76\pm0.32$,$448412.9\pm78051.88$,$10.82\pm3.31$,$3365.55\pm370.78$,$2.18\pm0.25$,$4689.42\pm5953.19$,$15.22\pm2.44$
001 knn,000 all,$5.89\pm0.42$,$814634.5\pm95609.67$,$25.81\pm7.07$,$3323.38\pm397.66$,$2.0\pm0.26$,$10510.69\pm9299.87$,$18.94\pm2.84$
001 knn,002 intercorrelation,$6.24\pm0.41$,$917310.52\pm100159.34$,$25.64\pm6.85$,$3302.84\pm385.5$,$2.0\pm0.26$,$10671.21\pm9632.79$,$18.94\pm2.84$
001 knn,003 feature importance selection,$5.41\pm0.39$,$724552.78\pm112787.34$,$19.84\pm6.0$,$3772.01\pm497.83$,$2.07\pm0.25$,$10059.27\pm8474.03$,$21.17\pm2.85$
001 knn,004 l1,$6.2\pm0.39$,$833301.23\pm119743.65$,$19.75\pm5.54$,$3240.55\pm335.03$,$-1.0\pm0.0$,$9042.14\pm7997.46$,$19.1\pm2.61$
001 knn,005 relieff selection,$5.54\pm0.38$,$1805419.05\pm266722.21$,$19.6\pm5.53$,$3247.16\pm333.04$,$2.0\pm0.26$,$11203.85\pm9200.78$,$18.3\pm2.61$
001 knn,006 forward selection,$5.52\pm0.38$,$1276641.81\pm362803.84$,$21.67\pm5.84$,$3361.85\pm428.1$,$2.05\pm0.25$,$10212.52\pm8818.77$,$19.17\pm3.29$
001 knn,007 backward selection,$5.52\pm0.38$,$1188207.49\pm226097.31$,$19.69\pm5.53$,$3265.12\pm341.53$,$2.03\pm0.26$,$9803.53\pm8790.61$,$17.89\pm2.67$
001 knn,008 stepwise selection,$5.52\pm0.38$,$1200133.65\pm229344.06$,$20.04\pm5.59$,$3289.45\pm355.34$,$2.04\pm0.26$,$9944.44\pm8513.47$,$18.59\pm2.92$
001 knn,009 bayesian selection,$5.51\pm0.38$,$806314.19\pm149414.96$,$19.2\pm4.97$,$3169.2\pm326.03$,$1.9\pm0.25$,$7667.64\pm7048.26$,$16.04\pm2.44$
001 knn,010 correlation weighting,$5.66\pm0.41$,$623389.28\pm112899.03$,$20.55\pm6.4$,$3245.06\pm372.61$,$2.02\pm0.26$,$9400.9\pm8098.42$,$18.39\pm2.62$
001 knn,011 feature importance weighting,$5.53\pm0.38$,$831674.34\pm120553.73$,$19.6\pm5.54$,$3240.93\pm337.2$,$2.01\pm0.26$,$9060.97\pm7997.8$,$18.2\pm2.66$
001 knn,012 relieff weighting,$5.52\pm0.38$,$1174500.3\pm223714.34$,$19.63\pm5.52$,$3244.59\pm333.29$,$2.03\pm0.26$,$10269.64\pm8899.83$,$17.83\pm2.66$
001 knn,013 bayesian weighting,$5.21\pm0.37$,$555719.51\pm89518.03$,$15.78\pm4.56$,$2854.31\pm318.68$,$1.84\pm0.25$,$6748.21\pm6984.64$,$14.61\pm2.46$
