,dataset,base,method,PM1,PM2,Time,TriesToOpt,Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell
0,abalone,001 knn,000 all,5.443013672815039,0.4498750995121691,0.0,0,True,True,True,True,True,True,True,True
1,abalone,000 rf,000 all,4.583294283055422,0.5367668606152354,0.0,0,True,True,True,True,True,True,True,True
2,abalone,001 knn,002 intercorrelation,5.732005437629172,0.42066672793408433,0.0215909481048584,0,True,False,False,False,False,False,False,True
3,abalone,001 knn,010 correlation weighting,5.1990948196540305,0.4745279559788894,0.0215909481048584,0,0.3518158966261672,0.5526026396849294,0.5678743914625536,0.5388599147464975,0.5330217287714227,0.4125362327843874,0.4983098875599725,0.6209516333264073
4,abalone,001 knn,003 feature importance selection,4.955242211609241,0.49917411705769454,1.0703761577606201,0,False,True,False,True,False,True,False,True
5,abalone,001 knn,011 feature importance weighting,5.101797089550127,0.4843618287759459,1.0703761577606201,0,0.02794443954008504,0.05030137319881739,0.05154856125547403,0.05357704307446955,0.08698253569872488,0.1582529062174593,0.07710406361873197,0.49428907739623784
6,abalone,001 knn,004 l1,5.699342304330285,0.42396798786760526,0.011310100555419922,0,False,False,False,False,False,False,False,True
7,abalone,001 knn,005 relieff selection,5.116385856678746,0.4828873433994061,0.22818684577941895,0,False,True,True,False,True,True,True,True
8,abalone,001 knn,012 relieff weighting,5.09578612493276,0.4849693564271219,0.22818684577941895,0,0.0,0.7363825363825364,0.6834372834372834,0.4128898128898129,1.0,0.9986139986139986,0.9875259875259875,0.9237699237699237
9,abalone,001 knn,006 forward selection,5.102478960816512,0.48429291210861514,2.9713258743286133,0,False,False,False,False,False,True,False,True
10,abalone,001 knn,007 backward selection,5.095226104866793,0.48502595760462774,3.7880165576934814,0,False,True,False,True,False,True,False,True
11,abalone,001 knn,008 stepwise selection,5.102478960816512,0.48429291210861514,4.934022665023804,0,False,False,False,False,False,True,False,True
12,abalone,001 knn,009 bayesian selection,5.094723150710625,0.4850767911357823,32.822683811187744,7,False,True,True,False,False,True,True,True
13,abalone,001 knn,013 bayesian weighting,4.823353803332295,0.512504066574674,83.35984873771667,398,0.8444266030392208,0.03506893297472439,0.10937728696465329,0.91630874944095,0.08614650863770928,0.47347798332970936,0.11881974637050015,0.10776777390880904
