,dataset,base,method,PM1,PM2,Time,TriesToOpt,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,boston,001 knn,000 all,40.30917606299212,0.5843783641167022,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,boston,000 rf,000 all,11.07354612841727,0.8858223906703115,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,boston,001 knn,002 intercorrelation,40.071833322834635,0.5868255681422849,0.006728172302246094,0,True,True,True,True,True,True,True,True,False,True,True,True,True
3,boston,001 knn,010 correlation weighting,32.9991971023622,0.6597504185874175,0.006728172302246094,0,0.4053955017355998,0.3839281440094332,0.5157404820120175,0.17478803708098534,0.43916448536396485,0.7042967001522685,0.3965958796774956,0.2660895784358491,0.4118334363841958,0.5067994709343151,0.511136037483034,0.33220499803243636,0.7447833756410424
4,boston,001 knn,003 feature importance selection,31.514364472440942,0.675060296559033,0.27062463760375977,0,False,True,False,True,False,True,False,True,False,True,True,False,True
5,boston,001 knn,011 feature importance weighting,28.224858582677165,0.7089778794194423,0.27062463760375977,0,0.03760877695015943,0.0012060759574353441,0.00473429775274976,0.0010668575044378097,0.020832509318453308,0.41666828458101096,0.01128218532502092,0.046228984328304384,0.004083663683061328,0.018375603176162138,0.015568572505065565,0.014899856896290833,0.40744433202184815
6,boston,001 knn,004 l1,28.215912692913385,0.7090701190953971,0.016828298568725586,0,False,False,False,True,False,True,False,False,False,True,True,True,True
7,boston,001 knn,005 relieff selection,28.183621291338582,0.7094030707073702,0.03319501876831055,0,True,False,True,False,True,True,True,True,False,True,False,True,True
8,boston,001 knn,012 relieff weighting,28.185812157480317,0.7093804810278292,0.03319501876831055,0,1.0,0.407624633431085,0.8240469208211143,0.0,0.2608695652173913,0.9985507246376811,0.9608695652173913,0.9333333333333333,0.6671554252199414,0.8181818181818181,0.8049853372434017,0.8536231884057971,1.0
9,boston,001 knn,006 forward selection,28.298182803149608,0.7082218448030314,7.502819299697876,0,True,False,False,False,False,True,False,False,False,False,False,True,True
10,boston,001 knn,007 backward selection,28.298182803149608,0.7082218448030314,9.40115213394165,0,True,False,False,False,False,True,False,False,True,False,False,True,True
11,boston,001 knn,008 stepwise selection,28.298182803149608,0.7082218448030314,15.063734292984009,0,True,False,False,False,False,True,False,False,True,False,False,True,True
12,boston,001 knn,009 bayesian selection,28.200384251968504,0.709230230431291,33.027804374694824,38,False,False,True,False,True,True,False,False,True,True,True,True,True
13,boston,001 knn,013 bayesian weighting,23.00217725984252,0.7628281330614801,85.84399628639221,410,0.9990112317268314,0.7298417030851729,0.03251344968577808,0.8624163764087069,0.35531520105880665,0.05739245748252233,0.40479855903923445,0.8199793493098299,0.8244183205313651,0.7542793380236271,0.39388598111307743,0.364499818964763,0.15444998237750523
