,dataset,base,method,PM1,PM2,Time,TriesToOpt,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
0,diabetes,001 knn,000 all,3403.2839699203337,0.4404690463500781,0.0,0,True,True,True,True,True,True,True,True,True,True
1,diabetes,000 rf,000 all,3113.9395852620496,0.4880399046481264,0.0,0,True,True,True,True,True,True,True,True,True,True
2,diabetes,001 knn,002 intercorrelation,3374.448309880129,0.4452098921049502,0.01952075958251953,0,True,True,True,True,True,False,True,True,True,True
3,diabetes,001 knn,010 correlation weighting,3221.752680366316,0.47031444757407215,0.01952075958251953,0,0.13647250319393045,0.013120724052272827,0.5993705255478138,0.4197348325075563,0.21334233866899022,0.16662270593750186,0.3844647985790721,0.4179211379691847,0.5650722836567732,0.35758173178411634
4,diabetes,001 knn,003 feature importance selection,3447.0917839326935,0.43326664179956165,0.22951722145080566,0,False,True,False,True,True,False,True,False,True,False
5,diabetes,001 knn,011 feature importance weighting,3186.6801243392156,0.476080695966575,0.22951722145080566,0,0.060250235393434416,0.011430766380979632,0.3137958596392146,0.08460515746893855,0.045926955339735384,0.056037704266047844,0.04829253633547258,0.04195082642967193,0.27595943308305126,0.06175052566345382
6,diabetes,001 knn,004 l1,3232.1941218077586,0.46859777927990487,0.017855167388916016,0,True,True,True,True,True,False,True,False,True,True
7,diabetes,001 knn,005 relieff selection,3245.9970962698235,0.46632844426930165,0.032465219497680664,0,True,False,True,True,True,True,False,False,True,True
8,diabetes,001 knn,012 relieff weighting,3238.0262452535176,0.46763892494325476,0.032465219497680664,0,0.9324546952224053,0.0,0.9785831960461285,0.9373970345963756,0.9637561779242174,1.0,0.9060955518945635,0.07413509060955518,0.9719934102141681,0.9242174629324547
9,diabetes,001 knn,006 forward selection,3219.7066487975576,0.4706508338424481,4.643304824829102,0,False,False,True,True,False,False,False,False,True,False
10,diabetes,001 knn,007 backward selection,3213.2008041098948,0.4717204541017507,5.247679710388184,0,True,False,True,True,False,True,False,False,True,False
11,diabetes,001 knn,008 stepwise selection,3252.863654977292,0.4651995193321409,4.658181667327881,0,False,False,True,True,False,False,True,True,True,True
12,diabetes,001 knn,009 bayesian selection,3188.4951418360515,0.47578229052057874,31.143009662628174,109,True,False,True,True,True,True,True,True,True,False
13,diabetes,001 knn,013 bayesian weighting,2858.906001042365,0.5299697541265813,80.34700870513916,368,0.4671569082107304,0.3473203746239477,0.2019467674532713,0.9650631272241812,0.3828361161148891,0.35975499369651637,0.9777140979203336,0.6214162804869685,0.1753316863405458,0.704992666018813
