,dataset,base,method,PM1,PM2,Time,TriesToOpt,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,fire,001 knn,000 all,2.219800172203226,-0.0374078521053649,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
1,fire,000 rf,000 all,2.2875006123936066,-0.06904717222253631,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
2,fire,001 knn,002 intercorrelation,2.198348438832076,-0.02738253680033287,0.009582757949829102,0,True,True,True,True,True,True,False,True,True,True,True,True
3,fire,001 knn,010 correlation weighting,2.257638266753022,-0.05509121698036745,0.009582757949829102,0,0.07959321589775716,0.08307553130267269,0.13146874521404486,0.016514547958788862,0.05219867922936518,0.08104026045733784,0.09572831816621442,0.014713695183133944,0.059330890632848556,0.02872401209317981,0.056734179169940745,0.05466166489155425
4,fire,001 knn,003 feature importance selection,2.256736130080529,-0.05466960981075131,0.23792743682861328,0,False,True,False,True,False,True,False,True,False,True,False,True
5,fire,001 knn,011 feature importance weighting,2.22470291885003,-0.039699115946122854,0.23792743682861328,0,0.08491675603990491,0.07173753162725471,0.03794092956980017,0.0514543253099227,0.07147552040893518,0.11339955395334674,0.08972373899185644,0.0863849245836056,0.16999879785539104,0.11698970369473058,0.1057544703910481,0.0002237475742037465
6,fire,001 knn,004 l1,-1.0,-1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False
7,fire,001 knn,005 relieff selection,2.199854239882185,-0.028086262231411085,0.03291201591491699,0,True,False,False,True,True,True,True,True,True,True,True,False
8,fire,001 knn,012 relieff weighting,2.2670142830108917,-0.05947303161809114,0.03291201591491699,0,0.22965116279069767,0.882183908045977,0.7155172413793103,0.3633720930232558,0.8546511627906976,0.9098837209302325,0.9186046511627907,0.8255813953488372,1.0,0.9215116279069767,0.6802325581395349,0.0
9,fire,001 knn,006 forward selection,2.2431135844190266,-0.0483032098023759,2.778434991836548,0,True,False,False,False,False,False,False,False,False,False,False,False
10,fire,001 knn,007 backward selection,2.2439785747862504,-0.04870745690992617,3.8292925357818604,0,True,True,True,False,True,True,True,True,True,False,True,True
11,fire,001 knn,008 stepwise selection,2.180078155693877,-0.01884404967653741,6.9872167110443115,0,True,False,True,False,False,True,False,False,False,True,True,True
12,fire,001 knn,009 bayesian selection,2.0627873216615074,0.03597098896020501,32.81963920593262,110,False,False,False,True,True,True,False,False,True,True,True,False
13,fire,001 knn,013 bayesian weighting,2.0113183771971475,0.06002463477729958,83.32848381996155,462,0.296358913492063,0.050380484867061565,0.23689807815467448,0.7110877783795998,0.788665714139339,0.7147432985744998,0.05873103229589227,0.7786231149832366,0.7680422314103267,0.5846261134577629,0.6375517906664135,0.8960952308266663
