,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.8947368421052632,0.8947368421052632,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9210526315789473,0.9210526315789473,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9473684210526315,0.9473684210526315,0.13841485977172852,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.13841485977172852,0,0.08641545166922782,0.01691075826038615,0.4472002967316248,0.44947349333876135
4,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.011959552764892578,0,False,True,True,True
5,iris,001 knn,005 relieff selection,0.9473684210526315,0.9473684210526315,0.03299713134765625,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9473684210526315,0.9473684210526315,0.03299713134765625,0,0.19148936170212771,0.35460992907801414,0.0,0.46808510638297873
7,iris,001 knn,006 forward selection,0.23684210526315788,0.23684210526315788,0.9450724124908447,0,False,False,True,False
8,iris,001 knn,007 backward selection,0.9473684210526315,0.9473684210526315,0.8223381042480469,0,False,True,True,True
9,iris,001 knn,008 stepwise selection,0.23684210526315788,0.23684210526315788,0.8250529766082764,0,False,False,True,False
10,iris,001 knn,009 bayesian selection,0.9473684210526315,0.9473684210526315,27.60707449913025,0,True,True,True,True
11,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,70.83523178100586,55,0.9530652132537483,0.42237373380233373,0.13216529112247977,0.10288066997397587
