cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,3,baseline,3196,36,2,0.908237747653806,0.9074405545318944,7.152557373046875e-07,0.16010618209838867,36,0
0,3,intercorrelation_filter,3196,36,2,0.908237747653806,0.9074405545318944,0.028703927993774414,0.13111519813537598,36,0
0,3,correlation_weighting,3196,36,2,0.9426485922836287,0.9425045537439896,0.028703927993774414,0.14905691146850586,36,0
0,3,tree_based_filter,3196,36,2,0.7320125130344108,0.7258308350344014,0.16301274299621582,0.1291799545288086,18,0
0,3,tree_based_weighting,3196,36,2,0.7247132429614181,0.7205538238748244,0.16301274299621582,0.14870429039001465,18,0
0,3,l1filter,3196,36,2,0.9176225234619395,0.9174789588282516,0.009895801544189453,0.12826275825500488,19,0
0,3,relieff,3196,36,2,0.8571428571428571,0.8559846977644048,0.26189160346984863,0.14346623420715332,27,0
0,3,relieff_weighting,3196,36,2,0.8696558915537018,0.868787879119568,0.26189160346984863,0.15321612358093262,27,0
0,3,forward_selection,3196,36,2,0.935349322210636,0.9351800976800977,6.038457632064819,0.056168556213378906,4,0
0,3,backwards_selection,3196,36,2,0.913451511991658,0.9128450060824653,6.62948203086853,0.13537859916687012,35,0
0,3,stepwise_selection,3196,36,2,0.894681960375391,0.8934286170113273,13.092249155044556,0.13412737846374512,21,0
0,3,bayesselection,3196,36,2,0.9249217935349322,0.9247843137254902,81.92771220207214,0.09410810470581055,15,199
0,3,bayeswweighting,3196,36,2,0.9332638164754953,0.9329558165548097,242.64248061180115,0.16475677490234375,36,757
1,3,baseline,3196,36,2,0.8873826903023984,0.885908790482485,4.76837158203125e-07,0.14413690567016602,36,0
1,3,intercorrelation_filter,3196,36,2,0.8873826903023984,0.885908790482485,0.028614282608032227,0.1459059715270996,36,0
1,3,correlation_weighting,3196,36,2,0.9301355578727841,0.9296703032080884,0.028614282608032227,0.16887760162353516,36,0
1,3,tree_based_filter,3196,36,2,0.7236704900938478,0.7149217516941366,0.16475391387939453,0.1230933666229248,18,0
1,3,tree_based_weighting,3196,36,2,0.7320125130344108,0.7251067114146358,0.16475391387939453,0.16442632675170898,18,0
1,3,l1filter,3196,36,2,0.894681960375391,0.8940163364901166,0.008333206176757812,0.1320204734802246,20,0
1,3,relieff,3196,36,2,0.8362877997914494,0.8336836849552791,0.26200342178344727,0.14768624305725098,27,0
1,3,relieff_weighting,3196,36,2,0.8602711157455682,0.8589445815295182,0.26200342178344727,0.1602344512939453,27,0
1,3,forward_selection,3196,36,2,0.9249217935349322,0.9244346387203529,5.324150562286377,0.052254438400268555,4,0
1,3,backwards_selection,3196,36,2,0.8936392075078207,0.8923486996178973,9.430947303771973,0.14224696159362793,34,0
1,3,stepwise_selection,3196,36,2,0.8696558915537018,0.86849769795553,6.353872776031494,0.14061498641967773,19,0
1,3,bayesselection,3196,36,2,0.908237747653806,0.9077029415367386,85.34349513053894,0.14229297637939453,22,137
1,3,bayeswweighting,3196,36,2,0.9436913451511991,0.9433259790402648,259.0201575756073,0.16033029556274414,36,991
2,3,baseline,3196,36,2,0.9144942648592284,0.914191123836793,4.76837158203125e-07,0.13251328468322754,36,0
2,3,intercorrelation_filter,3196,36,2,0.9144942648592284,0.914191123836793,0.0299985408782959,0.14825034141540527,36,0
2,3,correlation_weighting,3196,36,2,0.9416058394160584,0.941476980480703,0.0299985408782959,0.17136096954345703,36,0
2,3,tree_based_filter,3196,36,2,0.7518248175182481,0.7460184987358901,0.16626930236816406,0.13192057609558105,18,0
2,3,tree_based_weighting,3196,36,2,0.7549530761209593,0.7514406877802102,0.16626930236816406,0.15083837509155273,18,0
2,3,l1filter,3196,36,2,0.9040667361835245,0.9038357573855116,0.010433673858642578,0.1446371078491211,19,0
2,3,relieff,3196,36,2,0.8550573514077163,0.8543249218354703,0.2625565528869629,0.1522235870361328,27,0
2,3,relieff_weighting,3196,36,2,0.8717413972888426,0.87139179725703,0.2625565528869629,0.15527105331420898,27,0
2,3,forward_selection,3196,36,2,0.9374348279457768,0.9373202614379086,5.2522711753845215,0.059534549713134766,4,0
2,3,backwards_selection,3196,36,2,0.9155370177267987,0.9150582232637177,13.005865097045898,0.14603734016418457,33,0
2,3,stepwise_selection,3196,36,2,0.908237747653806,0.9081009504395021,13.619726181030273,0.16697907447814941,21,0
2,3,bayesselection,3196,36,2,0.9395203336809176,0.939517111192303,73.41412901878357,0.09068179130554199,12,381
2,3,bayeswweighting,3196,36,2,0.954118873826903,0.953944553590919,245.7604775428772,0.16683602333068848,36,998
0,11,baseline,625,4,3,0.8563829787234043,0.5950171082016924,2.384185791015625e-07,0.013495683670043945,4,0
0,11,intercorrelation_filter,625,4,3,0.8563829787234043,0.5950171082016924,0.0032215118408203125,0.011330127716064453,4,0
0,11,correlation_weighting,625,4,3,0.8829787234042553,0.6131368937998772,0.0032215118408203125,0.012688159942626953,4,0
0,11,tree_based_filter,625,4,3,0.8563829787234043,0.5950171082016924,0.10881710052490234,0.011497020721435547,4,0
0,11,tree_based_weighting,625,4,3,0.8723404255319149,0.6057499488438715,0.10881710052490234,0.012782573699951172,4,0
0,11,l1filter,625,4,3,0.8563829787234043,0.5950171082016924,0.0024645328521728516,0.011059284210205078,4,0
0,11,relieff,625,4,3,0.7659574468085106,0.5315142910056176,0.0241239070892334,0.010971307754516602,3,0
0,11,relieff_weighting,625,4,3,0.7819148936170213,0.5429430904291239,0.0241239070892334,0.01269841194152832,3,0
0,11,forward_selection,625,4,3,0.8563829787234043,0.5950171082016924,0.20996308326721191,0.01694202423095703,4,0
0,11,backwards_selection,625,4,3,0.7180851063829787,0.49815430047988185,0.06978678703308105,0.012795209884643555,3,0
0,11,stepwise_selection,625,4,3,0.8563829787234043,0.5950171082016924,0.037924766540527344,0.011355400085449219,4,0
0,11,bayesselection,625,4,3,0.8563829787234043,0.5950171082016924,1.4760792255401611,0.010918140411376953,4,7
